example_id                                                 | status  | run_time        |
---------------------------------------------------------- | ------- | --------------- |
./spec/controllers/v1/workouts_controller_spec.rb[1:1:1]   | pending | 0.00859 seconds |
./spec/controllers/v1/workouts_controller_spec.rb[1:2:1]   | pending | 0.00958 seconds |
./spec/controllers/v1/workouts_controller_spec.rb[1:3:1:1] | pending | 0.01648 seconds |
./spec/controllers/v1/workouts_controller_spec.rb[1:3:1:2] | pending | 0.00918 seconds |
./spec/controllers/v1/workouts_controller_spec.rb[1:3:1:3] | pending | 0.01482 seconds |
./spec/controllers/v1/workouts_controller_spec.rb[1:3:2:1] | pending | 0.00858 seconds |
./spec/controllers/v1/workouts_controller_spec.rb[1:3:2:2] | pending | 0.00921 seconds |
./spec/controllers/v1/workouts_controller_spec.rb[1:4:1:1] | pending | 0.00984 seconds |
./spec/controllers/v1/workouts_controller_spec.rb[1:4:1:2] | pending | 0.00924 seconds |
./spec/controllers/v1/workouts_controller_spec.rb[1:4:1:3] | pending | 0.00932 seconds |
./spec/controllers/v1/workouts_controller_spec.rb[1:4:2:1] | pending | 0.00867 seconds |
./spec/controllers/v1/workouts_controller_spec.rb[1:4:2:2] | pending | 0.00988 seconds |
./spec/controllers/v1/workouts_controller_spec.rb[1:5:1]   | pending | 0.00919 seconds |
./spec/controllers/v1/workouts_controller_spec.rb[1:5:2]   | pending | 0.00983 seconds |
./spec/models/workout_spec.rb[1:1]                         | pending | 0.00002 seconds |
./spec/routing/workouts_routing_spec.rb[1:1:1]             | passed  | 0.01711 seconds |
./spec/routing/workouts_routing_spec.rb[1:1:2]             | passed  | 0.01124 seconds |
./spec/routing/workouts_routing_spec.rb[1:1:3]             | passed  | 0.01019 seconds |
./spec/routing/workouts_routing_spec.rb[1:1:4]             | passed  | 0.00858 seconds |
./spec/routing/workouts_routing_spec.rb[1:1:5]             | passed  | 0.00996 seconds |
./spec/routing/workouts_routing_spec.rb[1:1:6]             | passed  | 0.00909 seconds |
